timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673452651052,164,about page,200,OK,tidal_users 1-21,text,true,,65471,126,34,34,https://www.twitch.tv/p/en/about/,140,0,0
1673452651131,86,about page,200,OK,tidal_users 1-23,text,true,,65471,126,34,34,https://www.twitch.tv/p/en/about/,58,0,0
1673452651065,154,about page,200,OK,tidal_users 1-4,text,true,,65471,126,34,34,https://www.twitch.tv/p/en/about/,67,0,0
1673452651089,133,about page,200,OK,tidal_users 1-8,text,true,,65471,126,34,34,https://www.twitch.tv/p/en/about/,126,0,0
1673452651075,152,about page,200,OK,tidal_users 1-3,text,true,,65471,126,34,34,https://www.twitch.tv/p/en/about/,120,0,0
1673452651143,85,about page,200,OK,tidal_users 1-22,text,true,,65471,126,34,34,https://www.twitch.tv/p/en/about/,66,0,0
1673452650847,399,browse page,200,OK,tidal_users 1-10,text,true,,109518,124,34,34,https://www.twitch.tv/directory,180,0,0
1673452651055,192,about page,200,OK,tidal_users 1-12,text,true,,65471,126,34,34,https://www.twitch.tv/p/en/about/,69,0,0
1673452651059,190,about page,200,OK,tidal_users 1-1,text,true,,65471,126,34,34,https://www.twitch.tv/p/en/about/,66,0,0
1673452651147,113,privacy policy page,200,OK,tidal_users 1-18,text,true,,67808,141,34,34,https://www.twitch.tv/p/en/legal/privacy-notice/,91,0,0
1673452650684,580,HomePage,200,OK,tidal_users 1-26,text,true,,110319,115,34,34,https://www.twitch.tv/,361,0,184
1673452649328,1936,HomePage,200,OK,tidal_users 1-5,text,true,,110326,115,34,34,https://www.twitch.tv/,1300,0,1227
1673452651090,184,about page,200,OK,tidal_users 1-15,text,true,,65471,126,34,34,https://www.twitch.tv/p/en/about/,131,0,0
1673452651098,178,about page,200,OK,tidal_users 1-13,text,true,,65471,126,34,34,https://www.twitch.tv/p/en/about/,176,0,0
1673452651197,97,about page,200,OK,tidal_users 1-11,text,true,,65471,126,35,35,https://www.twitch.tv/p/en/about/,66,0,0
1673452651100,196,browse page,200,OK,tidal_users 1-7,text,true,,109463,124,35,35,https://www.twitch.tv/directory,62,0,0
1673452650839,455,browse page,200,OK,tidal_users 1-16,text,true,,109511,124,35,35,https://www.twitch.tv/directory,76,0,0
1673452650869,445,browse page,200,OK,tidal_users 1-19,text,true,,109515,124,35,35,https://www.twitch.tv/directory,179,0,0
1673452650925,394,HomePage,200,OK,tidal_users 1-29,text,true,,110333,115,35,35,https://www.twitch.tv/,231,0,171
1673452651217,106,privacy policy page,200,OK,tidal_users 1-21,text,true,,67808,141,35,35,https://www.twitch.tv/p/en/legal/privacy-notice/,70,0,0
1673452651073,255,about page,200,OK,tidal_users 1-9,text,true,,65471,126,35,35,https://www.twitch.tv/p/en/about/,128,0,0
1673452650853,485,browse page,200,OK,tidal_users 1-20,text,true,,109450,124,35,35,https://www.twitch.tv/directory,242,0,0
1673452651220,124,privacy policy page,200,OK,tidal_users 1-4,text,true,,67808,141,35,35,https://www.twitch.tv/p/en/legal/privacy-notice/,77,0,0
1673452649342,2019,HomePage,200,OK,tidal_users 1-6,text,true,,110366,115,36,36,https://www.twitch.tv/,1286,0,1180
1673452651223,139,privacy policy page,200,OK,tidal_users 1-8,text,true,,67808,141,36,36,https://www.twitch.tv/p/en/legal/privacy-notice/,84,0,0
1673452651229,137,privacy policy page,200,OK,tidal_users 1-22,text,true,,67808,141,36,36,https://www.twitch.tv/p/en/legal/privacy-notice/,70,0,0
1673452650949,417,HomePage,200,OK,tidal_users 1-30,text,true,,110356,115,36,36,https://www.twitch.tv/,196,0,134
1673452651247,121,about page,200,OK,tidal_users 1-10,text,true,,65471,126,36,36,https://www.twitch.tv/p/en/about/,119,0,0
1673452651228,142,privacy policy page,200,OK,tidal_users 1-3,text,true,,67808,141,36,36,https://www.twitch.tv/p/en/legal/privacy-notice/,135,0,0
1673452651218,195,privacy policy page,200,OK,tidal_users 1-23,text,true,,67808,141,36,36,https://www.twitch.tv/p/en/legal/privacy-notice/,69,0,0
1673452651206,214,privacy policy page,200,OK,tidal_users 1-24,text,true,,67808,141,37,37,https://www.twitch.tv/p/en/legal/privacy-notice/,77,0,0
1673452651339,90,about page,200,OK,tidal_users 1-20,text,true,,65471,126,37,37,https://www.twitch.tv/p/en/about/,66,0,0
1673452651275,157,privacy policy page,200,OK,tidal_users 1-15,text,true,,67808,141,37,37,https://www.twitch.tv/p/en/legal/privacy-notice/,113,0,0
1673452651150,284,HomePage,200,OK,tidal_users 1-33,text,true,,110334,115,37,37,https://www.twitch.tv/,201,0,145
1673452651249,191,privacy policy page,200,OK,tidal_users 1-1,text,true,,67808,141,37,37,https://www.twitch.tv/p/en/legal/privacy-notice/,84,0,0
1673452651315,125,about page,200,OK,tidal_users 1-19,text,true,,65471,126,37,37,https://www.twitch.tv/p/en/about/,63,0,0
1673452651265,176,browse page,200,OK,tidal_users 1-5,text,true,,109502,124,37,37,https://www.twitch.tv/directory,70,0,0
1673452651297,145,about page,200,OK,tidal_users 1-7,text,true,,65471,126,37,37,https://www.twitch.tv/p/en/about/,72,0,0
1673452651278,166,privacy policy page,200,OK,tidal_users 1-13,text,true,,67808,141,37,37,https://www.twitch.tv/p/en/legal/privacy-notice/,81,0,0
1673452651295,151,privacy policy page,200,OK,tidal_users 1-11,text,true,,67808,141,37,37,https://www.twitch.tv/p/en/legal/privacy-notice/,69,0,0
1673452651329,133,privacy policy page,200,OK,tidal_users 1-9,text,true,,67808,141,37,37,https://www.twitch.tv/p/en/legal/privacy-notice/,77,0,0
1673452650631,843,HomePage,200,OK,tidal_users 1-25,text,true,,110302,115,37,37,https://www.twitch.tv/,404,0,225
1673452651216,272,HomePage,200,OK,tidal_users 1-34,text,true,,110326,115,38,38,https://www.twitch.tv/,195,0,136
1673452651369,120,privacy policy page,200,OK,tidal_users 1-10,text,true,,67808,141,38,38,https://www.twitch.tv/p/en/legal/privacy-notice/,75,0,0
1673452651212,288,browse page,200,OK,tidal_users 1-27,text,true,,109524,124,38,38,https://www.twitch.tv/directory,65,0,0
1673452651362,139,browse page,200,OK,tidal_users 1-6,text,true,,109481,124,38,38,https://www.twitch.tv/directory,69,0,0
1673452651435,74,browse page,200,OK,tidal_users 1-33,text,true,,109512,124,38,38,https://www.twitch.tv/directory,59,0,0
1673452651430,92,privacy policy page,200,OK,tidal_users 1-20,text,true,,67808,141,38,38,https://www.twitch.tv/p/en/legal/privacy-notice/,70,0,0
1673452651286,265,HomePage,200,OK,tidal_users 1-35,text,true,,110350,115,39,39,https://www.twitch.tv/,185,0,131
1673452651441,112,privacy policy page,200,OK,tidal_users 1-19,text,true,,67808,141,39,39,https://www.twitch.tv/p/en/legal/privacy-notice/,76,0,0
1673452651248,308,privacy policy page,200,OK,tidal_users 1-12,text,true,,67808,141,39,39,https://www.twitch.tv/p/en/legal/privacy-notice/,85,0,0
1673452651489,79,browse page,200,OK,tidal_users 1-34,text,true,,109489,124,39,39,https://www.twitch.tv/directory,58,0,0
